name,price
RED_BULL,28.0
MCLAREN,23.3
MERCEDES,20.2
FERRARI,19.6
ASTON_MARTIN,14.1
RB,8.4
ALPINE,8.3
SAUBER,6.5
WILLIAMS,6.2
HAAS,6.2
